Episode,Reward,Collision,TotalDelay,Loss
0,9.95,0,177.00,38.5296
1,9.95,0,177.00,38.5109
2,9.95,0,177.00,38.4923
3,9.95,0,177.00,38.4737
4,9.95,0,177.00,38.4551
5,9.95,0,177.00,38.4366
6,9.95,0,177.00,38.4182
7,9.95,0,177.00,38.3997
8,9.95,0,177.00,38.3813
9,9.95,0,177.00,38.3629
10,9.95,0,177.00,38.3445
11,9.95,0,177.00,38.3262
12,9.95,0,177.00,38.3081
13,9.95,0,177.00,38.2900
14,9.95,0,177.00,38.2718
15,9.95,0,177.00,38.2537
16,9.95,0,177.00,38.2355
17,9.95,0,177.00,38.2173
18,9.95,0,177.00,38.1991
19,9.95,0,177.00,38.1817
20,9.95,0,177.00,38.1644
21,9.95,0,177.00,38.1466
22,9.95,0,177.00,38.1287
23,9.95,0,177.00,38.1108
24,9.95,0,177.00,38.0928
25,9.95,0,177.00,38.0747
26,9.95,0,177.00,38.0572
27,9.95,0,177.00,38.0396
28,9.95,0,177.00,38.0220
29,9.95,0,177.00,38.0042
30,9.95,0,177.00,37.9863
31,9.95,0,177.00,37.9683
32,9.95,0,177.00,37.9499
33,9.95,0,177.00,37.9311
34,9.95,0,177.00,37.9120
35,9.95,0,177.00,37.8928
36,9.95,0,177.00,37.8735
37,9.95,0,177.00,37.8543
38,9.95,0,177.00,37.8349
39,9.95,0,177.00,37.8152
40,9.95,0,177.00,37.7953
41,9.95,0,177.00,37.7753
42,9.95,0,177.00,37.7553
43,9.95,0,177.00,37.7352
44,9.95,0,177.00,37.7150
45,9.95,0,177.00,37.6947
46,9.95,0,177.00,37.6743
47,9.95,0,177.00,37.6539
48,9.95,0,177.00,37.6333
49,9.95,0,177.00,37.6125
50,9.95,0,177.00,37.5916
51,9.95,0,177.00,37.5706
52,9.95,0,177.00,37.5495
53,9.95,0,177.00,37.5288
54,9.95,0,177.00,37.5085
55,9.95,0,177.00,37.4888
56,9.95,0,177.00,37.4689
57,9.95,0,177.00,37.4488
58,9.95,0,177.00,37.4286
59,9.95,0,177.00,37.4082
60,9.95,0,177.00,37.3877
61,9.95,0,177.00,37.3670
62,9.95,0,177.00,37.3461
63,9.95,0,177.00,37.3251
64,9.95,0,177.00,37.3039
65,9.95,0,177.00,37.2825
66,9.95,0,177.00,37.2609
67,9.95,0,177.00,37.2392
68,9.95,0,177.00,37.2173
69,9.95,0,177.00,37.1952
70,9.95,0,177.00,37.1730
71,9.95,0,177.00,37.1505
72,9.95,0,177.00,37.1280
73,9.95,0,177.00,37.1052
74,9.95,0,177.00,37.0823
75,9.95,0,177.00,37.0593
76,9.95,0,177.00,37.0360
77,9.95,0,177.00,37.0125
78,9.95,0,177.00,36.9889
79,9.95,0,177.00,36.9650
80,9.95,0,177.00,36.9410
81,9.95,0,177.00,36.9167
82,9.95,0,177.00,36.8923
83,9.95,0,177.00,36.8678
84,9.95,0,177.00,36.8431
85,9.95,0,177.00,36.8181
86,9.95,0,177.00,36.7930
87,9.95,0,177.00,36.7675
88,9.95,0,177.00,36.7413
89,9.95,0,177.00,36.7147
90,9.95,0,177.00,36.6877
91,9.95,0,177.00,36.6604
92,9.95,0,177.00,36.6327
93,9.95,0,177.00,36.6046
94,9.95,0,177.00,36.5753
95,9.95,0,177.00,36.5454
96,9.95,0,177.00,36.5150
97,9.95,0,177.00,36.4845
98,9.95,0,177.00,36.4533
99,9.95,0,177.00,36.4216
100,9.95,0,177.00,36.3894
101,9.95,0,177.00,36.3570
102,9.95,0,177.00,36.3241
103,9.95,0,177.00,36.2909
104,9.95,0,177.00,36.2574
105,9.95,0,177.00,36.2241
106,9.95,0,177.00,36.1905
107,9.95,0,177.00,36.1566
108,9.95,0,177.00,36.1223
109,9.95,0,177.00,36.0876
110,9.95,0,177.00,36.0527
111,9.95,0,177.00,36.0174
112,9.95,0,177.00,35.9818
113,9.95,0,177.00,35.9460
114,9.95,0,177.00,35.9098
115,9.95,0,177.00,35.8735
116,9.95,0,177.00,35.8369
117,9.95,0,177.00,35.7999
118,9.95,0,177.00,35.7626
119,9.95,0,177.00,35.7250
120,9.95,0,177.00,35.6869
121,9.95,0,177.00,35.6486
122,9.95,0,177.00,35.6098
123,9.95,0,177.00,35.5707
124,9.95,0,177.00,35.5312
125,9.95,0,177.00,35.4906
126,9.95,0,177.00,35.4495
127,9.95,0,177.00,35.4079
128,9.95,0,177.00,35.3659
129,9.95,0,177.00,35.3236
130,9.95,0,177.00,35.2808
131,9.95,0,177.00,35.2374
132,9.95,0,177.00,35.1937
133,9.95,0,177.00,35.1496
134,9.95,0,177.00,35.1051
135,9.95,0,177.00,35.0603
136,9.95,0,177.00,35.0151
137,9.95,0,177.00,34.9694
138,9.95,0,177.00,34.9234
139,9.95,0,177.00,34.8769
140,9.95,0,177.00,34.8299
141,9.95,0,177.00,34.7824
142,9.95,0,177.00,34.7343
143,9.95,0,177.00,34.6847
144,9.95,0,177.00,34.6317
145,9.95,0,177.00,34.5651
146,9.95,0,177.00,34.4655
147,9.95,0,177.00,34.3440
148,9.95,0,177.00,34.2446
149,9.95,0,177.00,34.1757
150,9.95,0,177.00,34.1133
151,9.95,0,177.00,34.0508
152,9.95,0,177.00,33.9875
153,9.95,0,177.00,33.9231
154,9.95,0,177.00,33.8575
155,9.95,0,177.00,33.7909
156,9.95,0,177.00,33.7232
157,9.95,0,177.00,33.6547
158,9.95,0,177.00,33.5871
159,9.95,0,177.00,33.5199
160,9.95,0,177.00,33.4515
161,9.95,0,177.00,33.3827
162,9.95,0,177.00,33.3143
163,9.95,0,177.00,33.2452
164,9.95,0,177.00,33.1753
165,9.95,0,177.00,33.1046
166,9.95,0,177.00,33.0333
167,9.95,0,177.00,32.9613
168,9.95,0,177.00,32.8885
169,9.95,0,177.00,32.8157
170,9.95,0,177.00,32.7428
171,9.95,0,177.00,32.6692
172,9.95,0,177.00,32.5948
173,9.95,0,177.00,32.5197
174,9.95,0,177.00,32.4437
175,9.95,0,177.00,32.3668
176,9.95,0,177.00,32.2891
177,9.95,0,177.00,32.2107
178,9.95,0,177.00,32.1317
179,9.95,0,177.00,32.0520
180,9.95,0,177.00,31.9716
181,9.95,0,177.00,31.8905
182,9.95,0,177.00,31.8086
183,9.95,0,177.00,31.7260
184,9.95,0,177.00,31.6424
185,9.95,0,177.00,31.5579
186,9.95,0,177.00,31.4727
187,9.95,0,177.00,31.3864
188,9.95,0,177.00,31.2993
189,9.95,0,177.00,31.2114
190,9.95,0,177.00,31.1227
191,9.95,0,177.00,31.0328
192,9.95,0,177.00,30.9425
193,9.95,0,177.00,30.8517
194,9.95,0,177.00,30.7600
195,9.95,0,177.00,30.6674
196,9.95,0,177.00,30.5739
197,9.95,0,177.00,30.4801
198,9.95,0,177.00,30.3849
199,9.95,0,177.00,30.2891
200,9.95,0,177.00,30.1925
201,9.95,0,177.00,30.0949
202,9.95,0,177.00,29.9966
203,9.95,0,177.00,29.8975
204,9.95,0,177.00,29.7976
205,9.95,0,177.00,29.6969
206,9.95,0,177.00,29.5955
207,9.95,0,177.00,29.4931
208,9.95,0,177.00,29.3899
209,9.95,0,177.00,29.2859
210,9.95,0,177.00,29.1809
211,9.95,0,177.00,29.0751
212,9.95,0,177.00,28.9687
213,9.95,0,177.00,28.8615
214,9.95,0,177.00,28.7535
215,9.95,0,177.00,28.6448
216,9.95,0,177.00,28.5352
217,9.95,0,177.00,28.4249
218,9.95,0,177.00,28.3139
219,9.95,0,177.00,28.2020
220,9.95,0,177.00,28.0895
221,9.95,0,177.00,27.9762
222,9.95,0,177.00,27.8624
223,9.95,0,177.00,27.7476
224,9.95,0,177.00,27.6321
225,9.95,0,177.00,27.5159
226,9.95,0,177.00,27.3988
227,9.95,0,177.00,27.2810
228,9.95,0,177.00,27.1626
229,9.95,0,177.00,27.0433
230,9.95,0,177.00,26.9231
231,9.95,0,177.00,26.8021
232,9.95,0,177.00,26.6803
233,9.95,0,177.00,26.5575
234,9.95,0,177.00,26.4339
235,9.95,0,177.00,26.3094
236,9.95,0,177.00,26.1839
237,9.95,0,177.00,26.0576
238,9.95,0,177.00,25.9306
239,9.95,0,177.00,25.8027
240,9.95,0,177.00,25.6741
241,9.95,0,177.00,25.5447
242,9.95,0,177.00,25.4146
243,9.95,0,177.00,25.2839
244,9.95,0,177.00,25.1524
245,9.95,0,177.00,25.0207
246,9.95,0,177.00,24.8884
247,9.95,0,177.00,24.7554
248,9.95,0,177.00,24.6215
249,9.95,0,177.00,24.4865
250,9.95,0,177.00,24.3508
251,9.95,0,177.00,24.2144
252,9.95,0,177.00,24.0772
253,9.95,0,177.00,23.9394
254,9.95,0,177.00,23.8009
255,9.95,0,177.00,23.6618
256,9.95,0,177.00,23.5218
257,9.95,0,177.00,23.3809
258,9.95,0,177.00,23.2393
259,9.95,0,177.00,23.0971
260,9.95,0,177.00,22.9542
261,9.95,0,177.00,22.8105
262,9.95,0,177.00,22.6662
263,9.95,0,177.00,22.5213
264,9.95,0,177.00,22.3757
265,9.95,0,177.00,22.2295
266,9.95,0,177.00,22.0830
267,9.95,0,177.00,21.9355
268,9.95,0,177.00,21.7875
269,9.95,0,177.00,21.6388
270,9.95,0,177.00,21.4895
271,9.95,0,177.00,21.3397
272,9.95,0,177.00,21.1893
273,9.95,0,177.00,21.0385
274,9.95,0,177.00,20.8869
275,9.95,0,177.00,20.7350
276,9.95,0,177.00,20.5825
277,9.95,0,177.00,20.4296
278,9.95,0,177.00,20.2762
279,9.95,0,177.00,20.1224
280,9.95,0,177.00,19.9681
281,9.95,0,177.00,19.8132
282,9.95,0,177.00,19.6578
283,9.95,0,177.00,19.5021
284,9.95,0,177.00,19.3459
285,9.95,0,177.00,19.1894
286,9.95,0,177.00,19.0324
287,9.95,0,177.00,18.8750
288,9.95,0,177.00,18.7173
289,9.95,0,177.00,18.5593
290,9.95,0,177.00,18.4009
291,9.95,0,177.00,18.2421
292,9.95,0,177.00,18.0831
293,9.95,0,177.00,17.9236
294,9.95,0,177.00,17.7639
295,9.95,0,177.00,17.6038
296,9.95,0,177.00,17.4435
297,9.95,0,177.00,17.2831
298,9.95,0,177.00,17.1223
299,9.95,0,177.00,16.9611
300,9.95,0,177.00,16.7998
301,9.95,0,177.00,16.6382
302,9.95,0,177.00,16.4766
303,9.95,0,177.00,16.3146
304,9.95,0,177.00,16.1521
305,9.95,0,177.00,15.9894
306,9.95,0,177.00,15.8265
307,9.95,0,177.00,15.6635
308,9.95,0,177.00,15.5003
309,9.95,0,177.00,15.3371
310,9.95,0,177.00,15.1737
311,9.95,0,177.00,15.0105
312,9.95,0,177.00,14.8473
313,9.95,0,177.00,14.6841
314,9.95,0,177.00,14.5210
315,9.95,0,177.00,14.3579
316,9.95,0,177.00,14.1947
317,9.95,0,177.00,14.0317
318,9.95,0,177.00,13.8689
319,9.95,0,177.00,13.7061
320,9.95,0,177.00,13.5434
321,9.95,0,177.00,13.3809
322,9.95,0,177.00,13.2184
323,9.95,0,177.00,13.0561
324,9.95,0,177.00,12.8940
325,9.95,0,177.00,12.7322
326,9.95,0,177.00,12.5707
327,9.95,0,177.00,12.4094
328,9.95,0,177.00,12.2484
329,9.95,0,177.00,12.0877
330,9.95,0,177.00,11.9273
331,9.95,0,177.00,11.7674
332,9.95,0,177.00,11.6079
333,9.95,0,177.00,11.4484
334,9.95,0,177.00,11.2894
335,9.95,0,177.00,11.1308
336,9.95,0,177.00,10.9728
337,9.95,0,177.00,10.8153
338,9.95,0,177.00,10.6585
339,9.95,0,177.00,10.5022
340,9.95,0,177.00,10.3466
341,9.95,0,177.00,10.1916
342,9.95,0,177.00,10.0374
343,9.95,0,177.00,9.8838
344,9.95,0,177.00,9.7309
345,9.95,0,177.00,9.5789
346,9.95,0,177.00,9.4276
347,9.95,0,177.00,9.2770
348,9.95,0,177.00,9.1272
349,9.95,0,177.00,8.9782
350,9.95,0,177.00,8.8301
351,9.95,0,177.00,8.6828
352,9.95,0,177.00,8.5364
353,9.95,0,177.00,8.3909
354,9.95,0,177.00,8.2463
355,9.95,0,177.00,8.1024
356,9.95,0,177.00,7.9578
357,9.95,0,177.00,7.8137
358,9.95,0,177.00,7.6703
359,9.95,0,177.00,7.5277
360,9.95,0,177.00,7.3860
361,9.95,0,177.00,7.2453
362,9.95,0,177.00,7.1057
363,9.95,0,177.00,6.9667
364,9.95,0,177.00,6.8289
365,9.95,0,177.00,6.6923
366,9.95,0,177.00,6.5567
367,9.95,0,177.00,6.4224
368,9.95,0,177.00,6.2894
369,9.95,0,177.00,6.1576
370,9.95,0,177.00,6.0272
371,9.95,0,177.00,5.8981
372,9.95,0,177.00,5.7704
373,9.95,0,177.00,5.6441
374,9.95,0,177.00,5.5192
375,9.95,0,177.00,5.3957
376,9.95,0,177.00,5.2737
377,9.95,0,177.00,5.1530
378,9.95,0,177.00,5.0337
379,9.95,0,177.00,4.9159
380,9.95,0,177.00,4.7996
381,9.95,0,177.00,4.6847
382,9.95,0,177.00,4.5715
383,9.95,0,177.00,4.4598
384,9.95,0,177.00,4.3496
385,9.95,0,177.00,4.2411
386,9.95,0,177.00,4.1342
387,9.95,0,177.00,4.0289
388,9.95,0,177.00,3.9252
389,9.95,0,177.00,3.8231
390,9.95,0,177.00,3.7226
391,9.95,0,177.00,3.6238
392,9.95,0,177.00,3.5267
393,9.95,0,177.00,3.4311
394,9.95,0,177.00,3.3373
395,9.95,0,177.00,3.2450
396,9.95,0,177.00,3.1544
397,9.95,0,177.00,3.0654
398,9.95,0,177.00,2.9782
399,9.95,0,177.00,2.8925
400,9.95,0,177.00,2.8085
401,9.95,0,177.00,2.7260
402,9.95,0,177.00,2.6451
403,9.95,0,177.00,2.5659
404,9.95,0,177.00,2.4883
405,9.95,0,177.00,2.4123
406,9.95,0,177.00,2.3379
407,9.95,0,177.00,2.2651
408,9.95,0,177.00,2.1938
409,9.95,0,177.00,2.1242
410,9.95,0,177.00,2.0561
411,9.95,0,177.00,1.9895
412,9.95,0,177.00,1.9245
413,9.95,0,177.00,1.8611
414,9.95,0,177.00,1.7991
415,9.95,0,177.00,1.7387
416,9.95,0,177.00,1.6797
417,9.95,0,177.00,1.6222
418,9.95,0,177.00,1.5662
419,9.95,0,177.00,1.5117
420,9.95,0,177.00,1.4585
421,9.95,0,177.00,1.4067
422,9.95,0,177.00,1.3563
423,9.95,0,177.00,1.3074
424,9.95,0,177.00,1.2597
425,9.95,0,177.00,1.2134
426,9.95,0,177.00,1.1684
427,9.95,0,177.00,1.1247
428,9.95,0,177.00,1.0823
429,9.95,0,177.00,1.0411
430,9.95,0,177.00,1.0012
431,9.95,0,177.00,0.9625
432,9.95,0,177.00,0.9249
433,9.95,0,177.00,0.8885
434,9.95,0,177.00,0.8533
435,9.95,0,177.00,0.8191
436,9.95,0,177.00,0.7860
437,9.95,0,177.00,0.7540
438,9.95,0,177.00,0.7231
439,9.95,0,177.00,0.6932
440,9.95,0,177.00,0.6643
441,9.95,0,177.00,0.6364
442,9.95,0,177.00,0.6095
443,9.95,0,177.00,0.5835
444,9.95,0,177.00,0.5585
445,9.95,0,177.00,0.5343
446,9.95,0,177.00,0.5111
447,9.95,0,177.00,0.4887
448,9.95,0,177.00,0.4671
449,9.95,0,177.00,0.4464
450,9.95,0,177.00,0.4264
451,9.95,0,177.00,0.4072
452,9.95,0,177.00,0.3888
453,9.95,0,177.00,0.3711
454,9.95,0,177.00,0.3540
455,9.95,0,177.00,0.3377
456,9.95,0,177.00,0.3221
457,9.95,0,177.00,0.3071
458,9.95,0,177.00,0.2927
459,9.95,0,177.00,0.2789
460,9.95,0,177.00,0.2657
461,9.95,0,177.00,0.2530
462,9.95,0,177.00,0.2409
463,9.95,0,177.00,0.2293
464,9.95,0,177.00,0.2183
465,9.95,0,177.00,0.2077
466,9.95,0,177.00,0.1976
467,9.95,0,177.00,0.1880
468,9.95,0,177.00,0.1788
469,9.95,0,177.00,0.1700
470,9.95,0,177.00,0.1616
471,9.95,0,177.00,0.1537
472,9.95,0,177.00,0.1461
473,9.95,0,177.00,0.1389
474,9.95,0,177.00,0.1320
475,9.95,0,177.00,0.1254
476,9.95,0,177.00,0.1192
477,9.95,0,177.00,0.1133
478,9.95,0,177.00,0.1077
479,9.95,0,177.00,0.1023
480,9.95,0,177.00,0.0972
481,9.95,0,177.00,0.0924
482,9.95,0,177.00,0.0879
483,9.95,0,177.00,0.0835
484,9.95,0,177.00,0.0794
485,9.95,0,177.00,0.0756
486,9.95,0,177.00,0.0719
487,9.95,0,177.00,0.0684
488,9.95,0,177.00,0.0651
489,9.95,0,177.00,0.0620
490,9.95,0,177.00,0.0590
491,9.95,0,177.00,0.0563
492,9.95,0,177.00,0.0536
493,9.95,0,177.00,0.0512
